Package,Version
acepack,1.3-3.3
anytime,0.2.0
assertthat,0.1
BH,1.60.0-1
bitops,1.0-6
caTools,1.17.1
cellranger,1.1.0
colorspace,1.2-6
curl,2.6
DBI,0.6
dichromat,2.0-0
digest,0.6.8
dplyr,0.5.0
evaluate,0.8
formatR,1.2.1
Formula,1.2-1
ggplot2,1.0.1
gridExtra,2.0.0
gtable,0.1.2
haven,1.0.0
highr,0.5.1
Hmisc,3.17-0
hms,0.3
htmltools,0.2.6
knitr,1.11
labeling,0.3
latticeExtra,0.6-26
lazyeval,0.2.0
magrittr,1.5
markdown,0.7.7
mime,0.4
munsell,0.4.2
parsedate,1.1.2
plyr,1.8.3
proto,0.3-10
purrr,0.2.2
R6,2.2.1
RColorBrewer,1.1-2
Rcpp,0.12.9
readr,1.0.0
readxl,1.0.0
rematch,1.0.1
reshape2,1.4.1
rmarkdown,0.8.1
scales,0.3.0
stringi,1.0-1
stringr,1.0.0
tibble,1.2
tidyr,0.4.0
udunits2,0.8.1
yaml,2.1.13
PMDatR,1.1.0
